日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2017-03-31,7.31,7.37,7.16,7.20,-0.11,-1.50,"422,594","30,688",2.87,0.56
2017-03-30,7.48,7.53,7.28,7.31,-0.18,-2.40,"618,966","45,873",3.34,0.82
2017-03-29,7.45,7.61,7.43,7.49,0.04,0.54,"431,289","32,422",2.42,0.57
2017-03-28,7.51,7.52,7.41,7.45,-0.08,-1.06,"309,885","23,115",1.46,0.41
2017-03-27,7.63,7.74,7.51,7.53,-0.08,-1.05,"540,573","41,107",3.02,0.71
2017-03-24,7.50,7.62,7.40,7.61,0.13,1.74,"635,036","47,633",2.94,0.84
2017-03-23,7.51,7.55,7.37,7.48,-0.03,-0.40,"681,311","50,792",2.40,0.90
2017-03-22,7.41,7.63,7.38,7.51,0.06,0.81,"749,377","56,457",3.36,0.99
2017-03-21,7.39,7.49,7.38,7.45,0.03,0.40,"377,070","28,088",1.48,0.50
2017-03-20,7.47,7.48,7.35,7.42,-0.06,-0.80,"436,722","32,331",1.74,0.58
2017-03-17,7.48,7.53,7.40,7.48,0.00,0.00,"478,995","35,721",1.74,0.63
2017-03-16,7.60,7.67,7.40,7.48,-0.12,-1.58,"858,992","64,219",3.55,1.13
2017-03-15,7.70,7.70,7.56,7.60,-0.07,-0.91,"349,382","26,581",1.83,0.46
2017-03-14,7.63,7.84,7.61,7.67,0.01,0.13,"677,870","52,364",3.00,0.89
2017-03-13,7.58,7.75,7.53,7.66,0.16,2.13,"877,449","67,185",2.93,1.16
2017-03-10,7.40,7.61,7.40,7.50,0.13,1.76,"645,642","48,537",2.85,0.85
2017-03-09,7.40,7.48,7.30,7.37,-0.03,-0.41,"316,825","23,354",2.43,0.42
2017-03-08,7.42,7.55,7.38,7.40,0.02,0.27,"683,041","51,030",2.30,0.90
2017-03-07,7.30,7.40,7.25,7.38,0.09,1.23,"489,059","35,882",2.06,0.64
2017-03-06,7.14,7.29,7.14,7.29,0.18,2.53,"614,015","44,322",2.11,0.81
2017-03-03,7.21,7.22,7.08,7.11,-0.16,-2.20,"447,592","31,901",1.93,0.59
2017-03-02,7.30,7.38,7.15,7.27,-0.05,-0.68,"575,808","41,846",3.14,0.76
2017-03-01,7.30,7.33,7.22,7.32,0.02,0.27,"487,912","35,470",1.51,0.64
2017-02-28,7.31,7.33,7.25,7.30,0.03,0.41,"273,585","19,934",1.10,0.36
2017-02-27,7.41,7.44,7.26,7.27,-0.14,-1.89,"495,375","36,372",2.43,0.65
2017-02-24,7.47,7.50,7.33,7.41,-0.08,-1.07,"454,036","33,497",2.27,0.60
2017-02-23,7.47,7.54,7.40,7.49,0.05,0.67,"667,184","49,792",1.88,0.88
2017-02-22,7.35,7.52,7.25,7.44,0.12,1.64,"907,689","67,377",3.69,1.20
2017-02-21,7.33,7.42,7.21,7.32,0.02,0.27,"706,132","51,592",2.88,0.93
2017-02-20,7.26,7.44,7.25,7.30,0.01,0.14,"755,463","55,554",2.61,0.99
2017-02-17,7.29,7.41,7.26,7.29,-0.01,-0.14,"497,704","36,442",2.05,0.66
2017-02-16,7.25,7.45,7.25,7.30,0.06,0.83,"516,589","37,910",2.76,0.68
2017-02-15,7.45,7.45,7.18,7.24,-0.23,-3.08,"808,705","58,896",3.61,1.07
2017-02-14,7.42,7.52,7.35,7.47,0.08,1.08,"566,331","42,066",2.30,0.75
2017-02-13,7.34,7.42,7.26,7.39,0.03,0.41,"699,263","51,312",2.17,0.92
2017-02-10,7.25,7.60,7.19,7.36,0.12,1.66,"1,092,009","80,609",5.66,1.44
2017-02-09,7.11,7.27,7.08,7.24,0.10,1.40,"706,873","50,746",2.66,0.93
2017-02-08,7.19,7.20,7.00,7.14,-0.03,-0.42,"584,640","41,373",2.79,0.77
2017-02-07,6.95,7.18,6.94,7.17,0.21,3.02,"753,221","53,618",3.45,0.99
2017-02-06,6.87,7.00,6.83,6.96,0.08,1.16,"306,818","21,296",2.47,0.40
2017-02-03,6.88,6.95,6.79,6.88,0.00,0.00,"269,952","18,534",2.33,0.36
2017-01-26,6.78,6.89,6.73,6.88,0.11,1.62,"260,977","17,781",2.36,0.34
2017-01-25,6.78,6.94,6.74,6.77,-0.03,-0.44,"307,500","21,049",2.94,0.40
